id	text	language	group	family	probably_repeating	probably_stimulus	num_speakers
1st_feb_release/0.wav	orav	krl	финно-угорские	уральские	1	0	1
1st_feb_release/1.wav	valgie	krl	финно-угорские	уральские	1	0	1
1st_feb_release/2.wav	läʃʃe	krl	финно-угорские	уральские	1	0	1
1st_feb_release/3.wav	ʃuio	krl	финно-угорские	уральские	1	0	1
1st_feb_release/4.wav	ʃuo	krl	финно-угорские	уральские	1	0	1
1st_feb_release/5.wav	varata	krl	финно-угорские	уральские	1	0	1
1st_feb_release/6.wav	luokʃie	krl	финно-угорские	уральские	1	0	1
1st_feb_release/7.wav	hɛrgä	krl	финно-угорские	уральские	1	0	1
1st_feb_release/8.wav	bojkoj	krl	финно-угорские	уральские	1	0	1
1st_feb_release/9.wav	käʃkie	krl	финно-угорские	уральские	1	0	1
1st_feb_release/10.wav	gora	krl	финно-угорские	уральские	1	0	1
1st_feb_release/11.wav	veslo	krl	финно-угорские	уральские	1	0	1
1st_feb_release/12.wav	ilda	krl	финно-угорские	уральские	1	0	1
1st_feb_release/13.wav	viära	krl	финно-угорские	уральские	1	0	1
1st_feb_release/14.wav	vinograda	krl	финно-угорские	уральские	1	0	1
1st_feb_release/15.wav	ʃiämi	krl	финно-угорские	уральские	1	0	1
1st_feb_release/16.wav	igä	krl	финно-угорские	уральские	1	0	1
1st_feb_release/17.wav	hukka	krl	финно-угорские	уральские	1	0	1
1st_feb_release/18.wav	volna	krl	финно-угорские	уральские	1	0	1
1st_feb_release/19.wav	aiga	krl	финно-угорские	уральские	1	0	1
1st_feb_release/20.wav	aiga	krl	финно-угорские	уральские	1	0	1
1st_feb_release/21.wav	nouʃa	krl	финно-угорские	уральские	1	0	1
1st_feb_release/22.wav	taimen	krl	финно-угорские	уральские	1	0	1
1st_feb_release/23.wav	puʐerdua	krl	финно-угорские	уральские	1	0	1
1st_feb_release/24.wav	kaʐvattua	krl	финно-угорские	уральские	1	0	1
1st_feb_release/25.wav	korgi	krl	финно-угорские	уральские	1	0	1
1st_feb_release/26.wav	hīru	krl	финно-угорские	уральские	1	0	1
1st_feb_release/27.wav	ʂʉvä	krl	финно-угорские	уральские	1	0	1
1st_feb_release/28.wav	gora	krl	финно-угорские	уральские	1	0	1
1st_feb_release/29.wav	kero	krl	финно-угорские	уральские	1	0	1
1st_feb_release/30.wav	kargi	krl	финно-угорские	уральские	1	0	1
