id	text	language	group	family	probably_repeating	probably_stimulus
22nd_feb_release/0.wav	korva	krl	финно-угорские	уральские	1	0
22nd_feb_release/1.wav	tɕajka	krl	финно-угорские	уральские	1	0
22nd_feb_release/2.wav	hʉø	krl	финно-угорские	уральские	1	0
22nd_feb_release/3.wav	juga	krl	финно-угорские	уральские	1	0
22nd_feb_release/4.wav	jumala	krl	финно-угорские	уральские	1	0
22nd_feb_release/5.wav	čončoj	krl	финно-угорские	уральские	1	0
22nd_feb_release/6.wav	lahti lahet	krl	финно-угорские	уральские	1	0
22nd_feb_release/7.wav	suoni suonet	krl	финно-угорские	уральские	1	0
22nd_feb_release/8.wav	pitkä pitkät	krl	финно-угорские	уральские	1	0
22nd_feb_release/9.wav	koppalo	krl	финно-угорские	уральские	1	0
22nd_feb_release/10.wav	piä piät	krl	финно-угорские	уральские	1	0
22nd_feb_release/11.wav	iäni	krl	финно-угорские	уральские	1	0
22nd_feb_release/12.wav	rokka rokkat	krl	финно-угорские	уральские	1	0
22nd_feb_release/13.wav	karvas	krl	финно-угорские	уральские	1	0
22nd_feb_release/14.wav	piha	krl	финно-угорские	уральские	1	0
22nd_feb_release/15.wav	neiti nejet	krl	финно-угорские	уральские	1	0
22nd_feb_release/16.wav	hieru hierut	krl	финно-угорские	уральские	1	0
22nd_feb_release/17.wav	lauta lauvat	krl	финно-угорские	уральские	1	0
22nd_feb_release/18.wav	savu savut	krl	финно-угорские	уральские	1	0
22nd_feb_release/19.wav	loukko loukkot	krl	финно-угорские	уральские	1	0
22nd_feb_release/20.wav	kuuzi kuuzet	krl	финно-угорские	уральские	1	0
22nd_feb_release/21.wav	kärzie	krl	финно-угорские	уральские	1	0
22nd_feb_release/22.wav	löjlü löjlüt	krl	финно-угорские	уральские	1	0
22nd_feb_release/23.wav	vaski vasket	krl	финно-угорские	уральские	1	0
22nd_feb_release/24.wav	kurgi	krl	финно-угорские	уральские	1	0
22nd_feb_release/25.wav	talvi talvet	krl	финно-угорские	уральские	1	0
22nd_feb_release/26.wav	kütü	krl	финно-угорские	уральские	1	0
22nd_feb_release/27.wav	luuva	krl	финно-угорские	уральские	1	0
22nd_feb_release/28.wav	polvi polvet	krl	финно-угорские	уральские	1	0
22nd_feb_release/29.wav	püörä püörät	krl	финно-угорские	уральские	1	0
22nd_feb_release/30.wav	kehkoi	krl	финно-угорские	уральские	1	0
22nd_feb_release/31.wav	kajvua	krl	финно-угорские	уральские	1	0
22nd_feb_release/32.wav	juuri juuret	krl	финно-угорские	уральские	1	0
22nd_feb_release/33.wav	kobra kobrat	krl	финно-угорские	уральские	1	0
22nd_feb_release/34.wav	käbie	krl	финно-угорские	уральские	1	0
22nd_feb_release/35.wav	nuola	krl	финно-угорские	уральские	1	0
22nd_feb_release/36.wav	suksi	krl	финно-угорские	уральские	1	0
22nd_feb_release/37.wav	lambi lammet	krl	финно-угорские	уральские	1	0
22nd_feb_release/38.wav	kuu kuut	krl	финно-угорские	уральские	1	0
22nd_feb_release/39.wav	lienou	krl	финно-угорские	уральские	1	0
22nd_feb_release/40.wav	alove	krl	финно-угорские	уральские	1	0
22nd_feb_release/41.wav	jalga	krl	финно-угорские	уральские	1	0
22nd_feb_release/42.wav	üö	krl	финно-угорские	уральские	1	0
22nd_feb_release/43.wav	järvi järvet	krl	финно-угорские	уральские	1	0
22nd_feb_release/44.wav	iähä	krl	финно-угорские	уральские	1	0
22nd_feb_release/45.wav	juou	krl	финно-угорские	уральские	1	0
22nd_feb_release/46.wav	särgi särret	krl	финно-угорские	уральские	1	0
22nd_feb_release/47.wav	pieli pielet	krl	финно-угорские	уральские	1	0
22nd_feb_release/48.wav	arba	krl	финно-угорские	уральские	1	0
22nd_feb_release/49.wav	müvä	krl	финно-угорские	уральские	1	0
22nd_feb_release/50.wav	lindu linnut	krl	финно-угорские	уральские	1	0
22nd_feb_release/51.wav	leikata	krl	финно-угорские	уральские	1	0
22nd_feb_release/52.wav	svatukset	krl	финно-угорские	уральские	1	0
22nd_feb_release/53.wav	parvi parvet	krl	финно-угорские	уральские	1	0
22nd_feb_release/54.wav	suu suut	krl	финно-угорские	уральские	1	0
22nd_feb_release/55.wav	käsi	krl	финно-угорские	уральские	1	0
22nd_feb_release/56.wav	mela melat	krl	финно-угорские	уральские	1	0
22nd_feb_release/57.wav	seitsemen seitsemet	krl	финно-угорские	уральские	1	0
22nd_feb_release/58.wav	süväjn süväjnet	krl	финно-угорские	уральские	1	0
22nd_feb_release/59.wav	keski	krl	финно-угорские	уральские	1	0
22nd_feb_release/60.wav	vägi vägevat	krl	финно-угорские	уральские	1	0
22nd_feb_release/61.wav	sülki süllet	krl	финно-угорские	уральские	1	0
22nd_feb_release/62.wav	surma surmat	krl	финно-угорские	уральские	1	0
22nd_feb_release/63.wav	pihka pihkat	krl	финно-угорские	уральские	1	0
22nd_feb_release/64.wav	mieli mielet	krl	финно-угорские	уральские	1	0
22nd_feb_release/65.wav	lumi lumet	krl	финно-угорские	уральские	1	0
22nd_feb_release/66.wav	hapan	krl	финно-угорские	уральские	1	0
